point,distance,dplus,dminus,barrier,ravito
Saint-Mathieu-De-Tréviers,0,0,0,10h00,
Les Avants,"3,8",66,,,Ravitaillement
Saint-Mathieu-De-Tréviers,"7",80,80,12h30,Ravitaillement
