point,distance,dplus,dminus,barrier,ravito
Saint-Martin-De-Londres,0,0,0,12h00,
Cazevieille,"9,5",209,,,Ravitaillement
Saint-Mathieu-De-Tréviers,"17",510,,16h00,Ravitaillement
