point,distance,dplus,dminus,barrier,ravito
Saint-Mathieu-De-Tréviers,0,0,0,9h00,
Mascla,"11,5",340,165,,
Cazevieille,"16",560,215,11h15,Ravitaillement
Saint-Mathieu-De-Tréviers,"24",860,860,13h30,Ravitaillement
