point,distance,dplus,dminus,barrier,ravito
Claret,0,0,0,7h00,"Petit déjeuner"
Cazeneuve,"14,4",507,484,,Eau - Solide
Valflaunès (R1->2),"24,8",745,750,12h00,Eau - Solide
Cazevieille,"36,3",1203,1059,14h15,Eau - Solide
Saint-Mathieu-De-Tréviers,"44,7",1450,1519,16h15,Ravitaillement
