point,distance,dplus,dminus,barrier,ravito
Saint-Mathieu-De-Tréviers,0,0,0,18h30,
Source de Miac,"5,6",130,,,Ravitaillement
Saint-Mathieu-De-Tréviers,"13",300,,21h30,Ravitaillement
